,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
CHRNA4_+_61992587.23-P1P2,1042,914,1016,1279,-0.120756197,0.152344594,0.015794198
CHRNA4_+_61992626.23-P1P2,1271,1554,1540,2549,0.192664999,0.381539269,0.287102134
CHRNA4_+_61992634.23-P1P2,649,752,463,1264,-0.571507606,0.416786296,-0.077360655
CHRNA5_+_78857876.23-P1P2,1683,1767,1219,3162,-0.549638372,0.507129728,-0.021254322
CHRNA5_+_78857951.23-P1P2,1464,1422,1228,1708,-0.337906314,-0.06801909,-0.202962702
CHRNA5_-_78857911.23-P1P2,2782,5000,3031,4476,0.039370111,-0.492123659,-0.226376774
CHRNA5_-_78857914.23-P1P2,1021,1503,1208,2278,0.158336267,0.267517138,0.212926702
CHRNA5_-_78857923.23-P1P2,572,146,24,42,-4.659210158,-2.129912736,-3.394561447
CHRNA6_-_42623374.23-P1P2,1970,3278,1973,3544,-0.082105995,-0.219842851,-0.150974423
CHRNA6_-_42623377.23-P1P2,764,796,523,1061,-0.631063013,0.08217872,-0.274442147
CHRNA6_-_42623731.23-P1P2,918,1391,713,1328,-0.448893399,-0.399272873,-0.424083136
CHRNA6_-_42623756.23-P1P2,1288,2055,2022,3450,0.566349082,0.415052368,0.490700725
CHRNA6_-_42623769.23-P1P2,1063,1634,628,1860,-0.843606454,-0.145510962,-0.494558708
CHRNA7_+_32322752.23-P1P2,801,1044,673,1143,-0.335497059,-0.201701909,-0.268599484
CHRNA7_+_32322912.23-P1P2,517,554,169,337,-1.697442356,-1.049542985,-1.37349267
CHRNA7_+_32323079.23-P1P2,332,403,307,269,-0.197245908,-0.915579266,-0.556412587
CHRNA7_+_32323159.23-P1P2,530,778,373,1067,-0.591118051,0.123312516,-0.233902768
CHRNA7_-_32323125.23-P1P2,221,353,93,287,-1.33304507,-0.631023047,-0.982034058
CHRNA9_+_40337357.23-P1P2,35,37,12,142,,1.607888154,
CHRNA9_+_40337570.23-P1P2,907,626,815,833,-0.238603813,0.079748238,-0.079427787
CHRNA9_+_40337768.23-P1P2,1560,1738,1722,2425,0.058237792,0.148151065,0.103194428
CHRNA9_-_40337393.23-P1P2,1101,1644,1541,1539,0.400751071,-0.427622668,-0.013435798
CHRNA9_-_40337555.23-P1P2,756,530,818,1272,0.029413287,0.930628806,0.480021046
CHRNB1_-_7348409.23-P1P2,541,760,286,1009,-1.003914769,0.076449251,-0.463732759
CHRNB1_-_7348458.23-P1P2,666,1098,974,1504,0.464098273,0.121520912,0.292809593
CHRNB1_-_7348808.23-P1P2,652,812,793,1315,0.19814758,0.363105567,0.280626573
CHRNB1_-_7348837.23-P1P2,491,445,385,594,-0.4351659,0.084251995,-0.175456953
CHRNB1_-_7348933.23-P1P2,1689,3008,2176,2825,0.281207907,-0.4229593,-0.070875696
CHRNB2_+_154540730.23-P1P2,925,1329,1101,1345,0.166987877,-0.315140532,-0.074076328
CHRNB2_-_154540333.23-P1P2,413,871,763,952,0.801239954,-0.204116746,0.298561604
CHRNB2_-_154540371.23-P1P2,418,287,367,340,-0.272024201,-0.087921591,-0.179972896
CHRNB2_-_154540703.23-P1P2,821,858,407,934,-1.096654749,-0.209960698,-0.653307724
CHRNB2_-_154540770.23-P1P2,753,908,377,884,-1.082386663,-0.371051528,-0.726719096
CHRNB3_+_42552570.23-P1P2,840,645,818,504,-0.122589806,-0.688281027,-0.405435417
CHRNB3_+_42552721.23-P1P2,685,853,587,1408,-0.307044806,0.390624087,0.04178964
CHRNB3_-_42552516.23-P1P2,1118,1239,884,1246,-0.423103235,-0.324277719,-0.373690477
CHRNB3_-_42552534.23-P1P2,394,1023,568,737,0.443393979,-0.805475221,-0.181040621
CHRNB3_-_42552810.23-P1P2,1391,2313,1062,2332,-0.473639975,-0.320603078,-0.397121526
CHRNB4_+_78933119.23-P1P2,821,1419,820,1055,-0.086059634,-0.760037191,-0.423048412
CHRNB4_+_78933497.23-P1P2,402,598,221,1047,-0.947450453,0.475638452,-0.235906
CHRNB4_+_78933530.23-P1P2,590,515,391,1625,-0.677847668,1.32538978,0.323771056
CHRNB4_+_78933567.23-P1P2,142,401,105,317,-0.519802923,-0.671524997,-0.59566396
CHRNB4_-_78933202.23-P1P2,661,615,459,1023,-0.61045744,0.401742229,-0.104357605
CHRND_-_233390895.23-P1P2,1187,1350,1095,2175,-0.200690387,0.355650393,0.077480003
CHRND_-_233390918.23-P1P2,2090,2653,1790,2871,-0.307844676,-0.218476945,-0.263160811
CHRND_-_233390951.23-P1P2,1882,2297,1828,3949,-0.126301879,0.449330911,0.161514516
CHRND_-_233391275.23-P1P2,311,843,856,1105,1.376394895,0.058036233,0.717215564
CHRND_-_233391333.23-P1P2,1062,1427,1042,1353,-0.11172981,-0.409229096,-0.260479453
CHRNE_+_4806299.23-P1P2,1017,1098,730,1956,-0.562652632,0.500622716,-0.031014958
CHRNE_-_4805906.23-P1P2,767,1378,720,1343,-0.175530993,-0.369522184,-0.272526588
CHRNE_-_4805971.23-P1P2,1403,2326,1402,1476,-0.085329981,-0.988563976,-0.536946978
CHRNE_-_4806328.23-P1P2,602,780,396,813,-0.688564378,-0.272624372,-0.480594375
CHRNE_-_4806409.23-P1P2,518,558,402,785,-0.450057918,0.160021932,-0.145017993
CHRNG_+_233404878.23-P1P2,1584,1692,1534,2532,-0.130575174,0.249142236,0.059283531
CHRNG_-_233404465.23-P1P2,821,1416,1430,2102,0.716259698,0.237535804,0.476897751
CHRNG_-_233404525.23-P1P2,376,680,261,1156,-0.610984177,0.433129146,-0.088927515
CHRNG_-_233404859.23-P1P2,616,914,777,1290,0.250682926,0.164699395,0.207691161
CHRNG_-_233404863.23-P1P2,1465,1056,132,529,-3.556592151,-1.329675808,-2.44313398
CHUK_+_101988955.23-P1P2,1538,1737,1345,3270,-0.277750652,0.580287281,0.151268315
CHUK_+_101989308.23-P1P2,1003,1101,1393,1884,0.38957233,0.442578896,0.416075613
CHUK_+_101989317.23-P1P2,1457,2375,1618,3017,0.066909409,0.012781583,0.039845496
CHUK_-_101989292.23-P1P2,197,255,205,591,-0.026873041,0.880255283,0.426691121
CHUK_-_101989295.23-P1P2,896,1240,664,623,-0.516616812,-1.325441653,-0.921029232
CIB2_+_78423551.23-P1P2,354,885,211,736,-0.830807683,-0.598377289,-0.714592486
CIB2_+_78423672.23-P1P2,1963,2280,1444,2250,-0.527290752,-0.351514423,-0.439402588
CIB2_-_78423608.23-P1P2,652,1132,1210,1801,0.807761856,0.337518623,0.57264024
CIB2_-_78423715.23-P1P2,893,1066,946,1051,-0.001121313,-0.352850369,-0.176985841
CIB2_-_78423718.23-P1P2,423,254,386,751,-0.216358137,1.23157881,0.507610337
CIB3_+_16284224.23-ENST00000269878.4,652,1510,574,845,-0.268122549,-1.169930903,-0.719026726
CIB3_+_16284300.23-ENST00000269878.4,386,444,418,1008,0.030600773,0.850458457,0.440529615
CIB3_-_16284159.23-ENST00000269878.4,1303,1713,1241,2235,-0.15463529,0.05134408,-0.051645605
CIB3_-_16284312.23-ENST00000269878.4,1510,1812,1848,3806,0.207114886,0.738287006,0.472700946
CIB3_-_16284326.23-ENST00000269878.4,926,988,666,1423,-0.559791338,0.193947115,-0.182922112
CINP_+_102829149.23-P1P2,1790,830,680,668,-1.480654258,-0.645668834,-1.063161546
CINP_+_102829180.23-P1P2,1476,261,540,242,-1.534962731,-0.44144836,-0.988205545
CINP_-_102829164.23-P1P2,1646,360,365,453,-2.257297288,-0.000891457,-1.129094372
CINP_-_102829679.23-P1P2,901,915,1128,383,0.239866735,-1.588832952,-0.674483108
CINP_-_102829702.23-P1P2,806,777,1270,385,0.571675432,-1.345461753,-0.386893161
CIT_+_120315063.23-P1P2,1510,1637,2192,1928,0.453397927,-0.096354871,0.178521528
CIT_+_120315100.23-P1P2,619,442,473,760,-0.472400547,0.449547449,-0.011426549
CIT_+_120315103.23-P1P2,460,575,597,804,0.291795749,0.151227945,0.221511847
CIT_-_120314748.23-P1P2,1258,979,1255,1388,-0.08774588,0.171221203,0.041737662
CIT_-_120314912.23-P1P2,1223,1654,1196,1160,-0.116508336,-0.844240029,-0.480374183
CKB_+_103988681.23-P1P2,729,922,1111,1371,0.523566776,0.239984315,0.381775545
CKB_+_103989130.23-P1P2,596,546,1687,1514,1.416774416,1.138986749,1.277880583
CKB_+_103989134.23-P1P2,1261,1774,1687,2273,0.335590376,0.025186074,0.180388225
CKB_-_103988726.23-P1P2,379,589,370,771,-0.118973899,0.056057626,-0.031458137
CKB_-_103988769.23-P1P2,1709,2081,1125,2715,-0.687528717,0.051269633,-0.318129542
CKMT1A_+_43985088.23-ENST00000434505.1,1419,3216,1725,3014,0.197420451,-0.42599359,-0.114286569
CKMT1A_+_43986155.23-ENST00000413453.2,1088,1756,1126,2603,-0.034773051,0.235476867,0.100351908
CKMT1A_+_43986181.23-ENST00000413453.2,1795,2151,1587,2309,-0.261983037,-0.230144952,-0.246063995
CKMT1A_+_43986191.23-ENST00000413453.2,638,1064,891,1789,0.397567686,0.417249636,0.407408661
CKMT1A_-_43985147.23-ENST00000434505.1,1564,2614,1604,2768,-0.047867692,-0.249820798,-0.148844245
CKMT1A_-_43985155.23-ENST00000434505.1,1144,1244,1483,1671,0.290130224,0.093319648,0.191724936
CKMT1A_-_43985329.23-ENST00000434505.1,2844,5689,3604,5905,0.257376225,-0.278643622,-0.010633699
CKMT1A_-_43985510.23-ENST00000434505.1,2603,4459,2467,4722,-0.161718918,-0.249727758,-0.205723338
CKMT1A_-_43985748.23-ENST00000413453.2,1182,1545,1495,2145,0.254614127,0.140965209,0.197789668
CKMT1A_-_43985782.23-ENST00000413453.2,270,110,64,0,-2.161116919,-7.126821467,-4.643969193
CKMT1B_+_43885256.23-ENST00000300283.6,1419,3216,1725,3014,0.197420451,-0.42599359,-0.114286569
CKMT1B_+_43886076.23-ENST00000441322.1,667,647,1179,385,0.73750373,-1.081312867,-0.171904568
CKMT1B_+_43886104.23-ENST00000441322.1,720,1090,620,536,-0.300030013,-1.356428829,-0.828229421
CKMT1B_+_43886110.23-ENST00000441322.1,582,587,326,1000,-0.92044851,0.436161991,-0.242143259
CKMT1B_+_43886511.23-ENST00000441322.1,315,560,132,664,-1.339115221,-0.086649186,-0.712882203
CKMT1B_-_43885315.23-ENST00000300283.6,1564,2614,1604,2768,-0.047867692,-0.249820798,-0.148844245
CKMT1B_-_43885323.23-ENST00000300283.6,1144,1244,1483,1671,0.290130224,0.093319648,0.191724936
CKMT1B_-_43885497.23-ENST00000300283.6,2844,5689,3604,5905,0.257376225,-0.278643622,-0.010633699
CKMT1B_-_43885678.23-ENST00000300283.6,2603,4459,2467,4722,-0.161718918,-0.249727758,-0.205723338
CKMT1B_-_43886093.23-ENST00000441322.1,1112,1039,971,1769,-0.279914909,0.435332794,0.077708942
CKMT2_+_80529359.23-P1P2,1747,1548,2029,3249,0.131587935,0.737184672,0.434386304
CKMT2_-_80529188.23-P1P2,511,1057,244,717,-1.150743465,-0.892335953,-1.021539709
CKMT2_-_80529200.23-P1P2,994,1370,1074,1556,0.027374915,-0.148739433,-0.060682259
CKMT2_-_80529327.23-P1P2,2013,2711,2442,3222,0.194414707,-0.083274219,0.055570244
CKMT2_-_80529402.23-P1P2,23,20,0,35,,,
CKM_+_45822546.23-P2,2528,3821,1955,3472,-0.455129178,-0.47058891,-0.462859044
CKM_+_45822549.23-P2,1832,2103,1446,3491,-0.425653273,0.398785907,-0.013433683
CKM_+_45822737.23-P2,145,244,155,429,0.011913994,0.4816909,0.246802447
CKM_+_45825712.23-P1,1792,2338,1506,2907,-0.335150189,-0.018149459,-0.176649824
CKM_+_45825893.23-P1,974,1421,1221,1571,0.241768201,-0.187628974,0.027069614
CKM_+_45826067.23-P1,981,1750,770,1636,-0.433696012,-0.429587774,-0.431641893
CKM_-_45822967.23-P2,2136,3406,1872,2805,-0.274632534,-0.612483264,-0.443557899
CKM_-_45822996.23-P2,642,662,569,1298,-0.258445966,0.638981661,0.190267847
CKM_-_45825740.23-P1,234,508,316,221,0.349114707,-1.533187728,-0.59203651
CKM_-_45826086.23-P1,459,630,464,992,-0.06867067,0.322582692,0.126956011
CKS2_+_91925760.23-P1P2,1018,1516,1386,2189,0.360888375,0.197596601,0.279242488
CKS2_+_91925796.23-P1P2,798,1358,1278,1360,0.595125863,-0.330282428,0.132421717
CKS2_+_91926515.23-P1P2,732,1240,1107,2014,0.512438347,0.367317962,0.439878155
CKS2_-_91926343.23-P1P2,953,1644,885,1149,-0.19110008,-0.849237101,-0.520168591
CKS2_-_91926551.23-P1P2,911,1727,1484,1736,0.619666811,-0.324906735,0.147380038
CLCN2_+_184078983.23-P1P2,808,1033,1070,1091,0.320882277,-0.253594753,0.033643762
CLCN2_+_184079046.23-P1P2,548,1115,772,1330,0.410123633,-0.078023065,0.166050284
CLCN2_+_184079122.23-P1P2,1068,1044,968,1513,-0.226134016,0.202884675,-0.01162467
CLCN2_-_184079183.23-P1P2,1450,2192,1958,3041,0.349026543,0.139892418,0.24445948
CLCN2_-_184079348.23-P1P2,1076,1123,1203,1518,0.076657243,0.102408263,0.089532753
CLCNKA_+_16349005.23-P2,301,314,608,378,0.930006515,-0.064783925,0.432611295
CLCNKA_+_16355002.23-P1,1937,1770,1500,3574,-0.453162775,0.681384674,0.11411095
CLCNKA_+_16355040.23-P1,110,71,78,465,-0.580258816,2.378934186,0.899337685
CLCNKA_+_16355052.23-P1,765,719,1027,1288,0.340603207,0.508663317,0.424633262
CLCNKA_+_16355070.23-P1,658,901,1235,1841,0.824050231,0.698485015,0.761267623
CLCNKA_-_16348573.23-P2,1064,1034,817,1206,-0.465391489,-0.110411879,-0.287901684
CLCNKA_-_16348583.23-P2,783,1244,744,1087,-0.158011008,-0.527040145,-0.342525577
CLCNKA_-_16348633.23-P2,964,2231,915,1942,-0.159562725,-0.532552913,-0.346057819
CLCNKA_-_16348753.23-P2,731,503,424,60,-0.870108463,-3.399929594,-2.135019029
CLCNKA_-_16355446.23-P1,204,233,268,237,0.309362527,-0.307848496,0.000757015
CLC_+_40228273.23-P1P2,1165,1614,1194,2346,-0.04882844,0.207156834,0.079164197
CLC_+_40228277.23-P1P2,2038,1614,1636,2887,-0.401282625,0.506524929,0.052621152
CLC_+_40228563.23-P1P2,1094,1352,1241,2266,0.097589056,0.412647109,0.255118083
CLC_+_40228670.23-P1P2,454,570,282,539,-0.771298456,-0.413082247,-0.592190352
CLC_-_40228442.23-P1P2,1054,1639,1582,2200,0.501573411,0.092282069,0.29692774
CLEC3B_+_45067786.23-P1P2,293,432,71,618,-2.129311056,0.184169925,-0.972570565
CLEC3B_+_45067835.23-P1P2,643,997,1122,1722,0.718880712,0.456014133,0.587447422
CLEC3B_+_45068274.23-P1P2,1028,1610,635,1053,-0.779313089,-0.944960852,-0.862136971
CLEC3B_-_45067791.23-P1P2,1579,2967,1417,3081,-0.240472734,-0.278011845,-0.25924229
CLEC3B_-_45067868.23-P1P2,189,241,393,479,0.971841757,0.658586909,0.815214333
CLK1_+_201728942.23-P1P2,644,634,699,855,0.033930446,0.099035979,0.066483213
CLK1_+_201728945.23-P1P2,627,910,659,986,-0.012488299,-0.216684499,-0.114586399
CLK1_+_201728988.23-P1P2,269,436,160,466,-0.833835589,-0.23640378,-0.535119685
CLK1_-_201729161.23-P1P2,1512,1571,1661,1612,0.051292612,-0.295237037,-0.121972212
CLK1_-_201729341.23-P1P2,509,770,832,755,0.624616551,-0.360787402,0.131914574
CLK2_+_155242888.23-P1P2,988,1313,641,721,-0.708488007,-1.197201352,-0.952844679
CLK2_+_155243222.23-P1P2,529,671,474,657,-0.242681985,-0.362824996,-0.30275349
CLK2_+_155243267.23-P1P2,843,1332,832,1222,-0.103250424,-0.456755398,-0.280002911
CLK2_+_155243270.23-P1P2,554,1092,587,798,-0.000826794,-0.784917805,-0.3928723
CLK2_+_155243273.23-P1P2,1163,877,897,743,-0.458972528,-0.571620232,-0.51529638
CLK3_+_74890844.23-P2,1079,1751,1187,2733,0.053323749,0.309900776,0.181612262
CLK3_+_74890865.23-P2,726,603,451,1184,-0.771143436,0.641033573,-0.065054931
CLK3_+_74908222.23-P1,301,367,149,370,-1.098752478,-0.320660393,-0.709706435
CLK3_+_74908403.23-P1,622,498,609,469,-0.114773674,-0.41896342,-0.266868547
CLK3_+_74908610.23-P1,1348,1351,975,2141,-0.551647694,0.331851521,-0.109898087
CLK3_-_74890853.23-P2,718,1499,322,1105,-1.241224477,-0.772359614,-1.006792046
CLK3_-_74890906.23-P2,1544,1639,1071,2295,-0.612015594,0.153272699,-0.229371448
CLK3_-_74891315.23-P2,839,675,760,267,-0.226972714,-1.670453361,-0.948713037
CLK3_-_74908201.23-P1,892,630,610,485,-0.632535789,-0.709772682,-0.671154235
CLK3_-_74908249.23-P1,828,1401,823,1266,-0.093039659,-0.478585151,-0.285812405
CLK4_+_178053616.23-P1P2,722,1615,793,1470,0.051020707,-0.46812361,-0.208551451
CLK4_+_178054000.23-P1P2,1382,2334,1143,2293,-0.358233534,-0.357973806,-0.35810367
CLK4_+_178054052.23-P1P2,1179,1229,1190,1869,-0.070903466,0.272376053,0.100736293
CLK4_-_178053564.23-P1P2,965,739,1322,1779,0.369820008,0.935014641,0.652417324
CLK4_-_178053661.23-P1P2,443,850,420,1470,-0.161218692,0.457875808,0.148328558
CLPB_+_72145177.23-P1P2,916,1326,1180,1605,0.281066035,-0.056913078,0.112076478
CLPB_+_72145509.23-P1P2,1188,704,623,402,-1.015532089,-1.140785528,-1.078158809
CLPB_+_72145538.23-P1P2,703,727,535,196,-0.478287119,-2.22350731,-1.350897215
CLPB_+_72145548.23-P1P2,615,380,387,186,-0.752554166,-1.363102398,-1.057828282
CLPB_-_72145578.23-P1P2,970,1119,915,1290,-0.168514325,-0.127244571,-0.147879448
CLPP_+_6361975.23-P1P2,1017,570,752,516,-0.519816434,-0.475996454,-0.497906444
CLPP_-_6361603.23-P1P2,1952,1865,1350,3073,-0.616294967,0.388066536,-0.114114215
CLPP_-_6361609.23-P1P2,1381,2393,1921,2609,0.391842878,-0.207729053,0.092056912
CLPP_-_6361738.23-P1P2,273,410,432,859,0.57782904,0.734628621,0.656228831
CLPP_-_6361788.23-P1P2,785,1316,1078,1516,0.373291297,-0.128295336,0.122497981
CLPS_-_35765033.23-P1P2,548,438,185,285,-1.650951944,-0.952374551,-1.301663247
CLPS_-_35765047.23-P1P2,1764,1881,1569,2513,-0.25330653,0.085505222,-0.083900654
CLPS_-_35765053.23-P1P2,1156,1094,1127,2160,-0.120955204,0.649012974,0.264028885
CLPS_-_35765088.23-P1P2,1847,2260,1394,2419,-0.490254627,-0.234317604,-0.362286115
CLPS_-_35765091.23-P1P2,1713,1918,1308,2006,-0.473463932,-0.267686715,-0.370575323
CLPX_+_65477605.23-P1P2,1138,1592,1027,1372,-0.232365698,-0.546965455,-0.389665576
CLPX_-_65477238.23-P1P2,879,1928,836,1644,-0.156661545,-0.562300353,-0.359480949
CLPX_-_65477262.23-P1P2,189,393,482,408,1.26634559,-0.278365761,0.493989915
CLPX_-_65477273.23-P1P2,995,1572,984,1561,-0.100339532,-0.342536281,-0.221437906
CLPX_-_65477612.23-P1P2,1164,1752,962,1761,-0.359283581,-0.325013466,-0.342148523
CMA1_+_24977022.23-P1P2,1676,2040,1312,2228,-0.437555751,-0.20522552,-0.321390635
CMA1_+_24977370.23-P1P2,1506,1382,1503,3050,-0.087178082,0.809646027,0.361233972
CMA1_-_24977003.23-P1P2,2336,2955,2579,3694,0.058470177,-0.010379864,0.024045157
CMA1_-_24977210.23-P1P2,1005,1350,932,2128,-0.193094963,0.324133143,0.06551909
CMA1_-_24977472.23-P1P2,2130,2680,1577,2898,-0.517972092,-0.219581006,-0.368776549
CMAS_-_22199180.23-P1P2,1356,1691,1216,1553,-0.241515271,-0.45522443,-0.348369851
CMAS_-_22199189.23-P1P2,589,1216,747,813,0.258539287,-0.913221572,-0.327341142
CMAS_-_22199201.23-P1P2,580,677,496,986,-0.310014101,0.210026213,-0.049993944
CMAS_-_22199218.23-P1P2,259,325,111,288,-1.306693743,-0.506776507,-0.906735125
CMAS_-_22199637.23-P1P2,626,1070,540,952,-0.297504571,-0.500982918,-0.399243745
CMPK1_+_47799460.23-P1P2,728,1204,902,628,0.224887662,-1.271404528,-0.523258433
CMPK1_+_47799533.23-P1P2,1249,647,672,580,-0.97854166,-0.490118412,-0.734330036
CMPK1_+_47799577.23-P1P2,820,416,611,210,-0.508752851,-1.318599801,-0.913676326
CMPK1_+_47799589.23-P1P2,641,656,767,105,0.174600899,-2.975712087,-1.400555594
CMPK1_+_47799884.23-P1P2,372,736,577,589,0.548967376,-0.653843733,-0.052438178
CNKSR1_+_26504044.23-P1P2,248,588,392,540,0.576212212,-0.455262348,0.060474932
CNKSR1_+_26504060.23-P1P2,1239,1772,1686,1666,0.360127027,-0.421395803,-0.030634388
CNKSR1_-_26504025.23-P1P2,805,850,567,1287,-0.58994137,0.266071707,-0.161934831
CNKSR1_-_26504071.23-P1P2,1226,1663,1120,2872,-0.214761568,0.45586198,0.120550206
CNKSR1_-_26504158.23-P1P2,674,510,189,33,-1.918663679,-4.282364918,-3.100514298
CNKSR3_+_154831262.23-P1P2,817,1391,858,1408,-0.013659752,-0.314880686,-0.164270219
CNKSR3_+_154831317.23-P1P2,1269,336,168,163,-3.001460253,-1.375994869,-2.188727561
CNKSR3_+_154831695.23-P1P2,194,518,229,508,0.154989624,-0.360529201,-0.102769788
CNKSR3_+_154831730.23-P1P2,299,175,352,239,0.151128623,0.117250096,0.134189359
CNKSR3_+_154831733.23-P1P2,499,431,421,344,-0.329520904,-0.657684905,-0.493602904
CNR1_+_88875608.23-P1P2,645,676,386,731,-0.824999635,-0.219557441,-0.522278538
CNR1_+_88875611.23-P1P2,416,360,483,603,0.131138339,0.411755495,0.271446917
CNR1_+_88876040.23-P1P2,300,386,0,144,-8.317920998,-1.754937636,-5.036429317
CNR1_+_88876049.23-P1P2,1193,1471,894,1795,-0.500548628,-0.045219003,-0.272883815
CNR1_-_88875699.23-P1P2,347,650,240,327,-0.616202579,-1.323554683,-0.969878631
CNR2_+_24239806.23-P1P2,705,1112,746,1502,-0.002748949,0.101322425,0.049286738
CNR2_+_24239813.23-P1P2,404,1058,1109,1577,1.372530846,0.243437432,0.807984139
CNR2_+_24239827.23-P1P2,292,297,224,517,-0.466770958,0.467295749,0.000262395
CNR2_-_24239369.23-P1P2,1159,1491,1128,1560,-0.12341482,-0.267139829,-0.195277324
CNR2_-_24239824.23-P1P2,1078,1576,1444,1620,0.337412243,-0.292679322,0.02236646
COL2A1_+_48398243.23-P1P2,1501,2175,1600,2321,0.007846607,-0.238674479,-0.115413936
COL2A1_-_48397828.23-P1P2,2210,2779,2807,2556,0.260681373,-0.453083599,-0.096201113
COL2A1_-_48398051.23-P1P2,497,725,476,588,-0.1465856,-0.63457044,-0.39057802
COL2A1_-_48398156.23-P1P2,529,496,490,1387,-0.194787295,1.151150162,0.478181434
COL2A1_-_48398202.23-P1P2,13,167,24,374,,0.830784567,
COMP_+_18901612.23-P1P2,690,971,1230,1370,0.749688727,0.164227092,0.45695791
COMP_-_18902064.23-P1P2,699,892,922,1200,0.315172974,0.09551319,0.205343082
COMP_-_18902079.23-P1P2,614,719,608,494,-0.098468653,-0.873886329,-0.486177491
COMP_-_18902082.23-P1P2,407,367,275,249,-0.649898497,-0.892039921,-0.770969209
COMP_-_18902085.23-P1P2,1085,425,1085,0,-0.084301322,-9.067115221,-4.575708271
COMTD1_+_76995169.23-P1P2,591,378,504,698,-0.314035718,0.552435202,0.119199742
COMTD1_-_76995333.23-P1P2,987,826,731,288,-0.51748,-1.85247857,-1.184979285
COMTD1_-_76995490.23-P1P2,1178,1787,1128,2325,-0.146873793,0.047285482,-0.049794156
COMTD1_-_76995670.23-P1P2,497,483,591,542,0.165610957,-0.166135938,-0.00026249
COMTD1_-_76995693.23-P1P2,106,722,186,699,0.726937035,-0.379111982,0.173912527
COX5A_+_75230394.23-P1P2,486,542,867,189,0.750774358,-1.852312217,-0.55076893
COX5A_-_75229980.23-P1P2,2028,2262,1656,2204,-0.376656301,-0.369880306,-0.373268303
COX5A_-_75230226.23-P1P2,1199,1679,946,1623,-0.426220892,-0.381344831,-0.403782861
COX5A_-_75230411.23-P1P2,650,999,549,376,-0.32793489,-1.742157616,-1.035046253
COX5A_-_75230432.23-P1P2,1247,703,478,315,-1.467680263,-1.490578461,-1.479129362
COX5B_+_98262102.23-P1P2,707,1064,721,1317,-0.056012277,-0.024648406,-0.040330341
COX5B_+_98262901.23-P1P2,1918,1732,2076,2039,0.029902402,-0.096982755,-0.033540177
COX5B_+_98262928.23-P1P2,1770,2597,1558,3096,-0.268355448,-0.078846143,-0.173600796
COX5B_+_98262943.23-P1P2,693,1095,827,1373,0.170730655,-0.006004845,0.082362905
COX5B_-_98262552.23-P1P2,941,1625,1159,1289,0.216312617,-0.666593055,-0.225140219
COX6A2_+_31439590.23-P1P2,1139,1445,1412,1309,0.22567102,-0.475009996,-0.124669488
COX6A2_-_31439172.23-P1P2,1685,2433,1812,3438,0.020533042,0.166427624,0.093480333
COX6A2_-_31439531.23-P1P2,1061,1333,1124,1792,-0.001083942,0.094488257,0.046702157
COX6A2_-_31439627.23-P1P2,1979,736,391,779,-2.423832421,-0.250488038,-1.33716023
COX6A2_-_31439650.23-P1P2,523,1392,1037,1840,0.903231721,0.070140955,0.486686338
COX7A1_+_36643313.23-P1P2,602,306,638,323,-0.000508385,-0.254403088,-0.127455736
COX7A1_+_36643328.23-P1P2,286,405,304,633,0.003754855,0.311877991,0.157816423
COX7A1_+_36643337.23-P1P2,1028,476,297,468,-1.87560675,-0.356858644,-1.116232697
COX7A1_+_36643347.23-P1P2,851,1006,790,1097,-0.1916078,-0.20747238,-0.19954009
COX7A1_+_36643368.23-P1P2,1090,1213,1172,1187,0.020343113,-0.363665216,-0.171661051
COX7B_+_77155209.23-P1P2,884,1218,966,993,0.043675498,-0.627054111,-0.291689306
COX7B_+_77155376.23-P1P2,1040,1381,945,1118,-0.222498615,-0.637198732,-0.429848674
